Category,Kind,Total,Depends Correct,ENRE Correct,SourceTrail Correct,Understand Correct,,,
,,,,,,,,,
entity,alias template,1,1,0,0,1,,e: o/nameError,
entity,namespace,5,5,4,5,5,,,
entity,variable,6,6,6,5,6,,,
entity,namespace alias,1,1,1,0,1,,,
entity,class,2,2,2,2,2,,,
entity,struct,1,1,1,1,1,,,
entity,union,1,1,1,1,1,,,
entity,enum,3,3,3,3,3,,,
entity,enumerator,5,5,5,5,5,,,
entity,file,1,1,1,1,1,,,
entity,function,2,2,2,2,2,,,
entity,macro,1,0,1,1,1,,,
entity,template,2,2,2,1,2,,,
entity,typedef,2,2,2,1,2,,,
relation,call,5,5,5,5,5,,,
relation,deref call,1,0,0,0,0,,,
relation,define,4,1,2,0,4,,,
relation,catch exception,1,0,0,0,1,,,
relation,throw exception,1,0,0,0,1,,,
relation,extend,6,5,6,6,6,,,
relation,friend,3,0,2,0,2,,,
relation,template specialization,1,0,0,1,0,,,
relation,include,2,2,2,2,2,,,
relation,modify,3,0,2,0,2,,,
relation,overrides,1,0,1,1,1,,,
relation,parameter,2,2,2,2,0,,u: e/Parameter,u: e/Parameter
relation,set,3,0,3,0,3,,,
relation,use,4,4,4,1,4,,,
,,,,,,,,,
entity,count,33,32,31,28,33,,,
,percentage,,96.97,93.94,84.85,100,,,
relation,count,37,19,29,18,31,,,
,percentage,,51.35,78.38,48.65,83.78,,,
,,,,,,,,,
total,percentage,,72.86,85.71,65.71,91.43,,,
,,,,,,,,,
entity,error level,C,0,0,0,0,,,
,,I,0,0,0,0,,,
,,U,3.03,6.06,15.15,0,,,
,,,,,,,,,
,,C,0,0,0,5.41,,,
,,I,0,0,0,0,,,
,,U,48.65,21.62,51.35,10.81,,,
